"state","expend","income","youth","urban","region"
"ME",235,39440,325,508,1
"NH",231,45780,323,564,1
"VT",270,40110,328,322,1
"MA",261,52330,305,846,1
"RI",300,47800,303,871,1
"CT",317,58890,307,774,1
"NY",387,56630,301,856,1
"NJ",285,57590,310,889,1
"PA",300,48940,300,715,1
"OH",221,50120,324,753,2
"IN",264,49080,329,649,2
"IL",308,57530,320,830,2
"MI",379,54390,337,738,2
"WI",342,46340,328,659,2
"MN",378,49210,330,664,2
"IA",232,48690,318,572,2
"MO",231,46720,309,701,2
"ND",246,47820,333,443,2
"SD",230,42960,330,446,2
"NE",268,48270,318,615,2
"KS",337,50570,304,661,2
"DE",344,55400,328,722,3
"MD",330,53310,323,766,3
"VA",261,47150,317,631,3
"WV",214,38280,310,390,3
"NC",245,41200,321,450,3
"SC",233,38170,342,476,3
"GA",250,42430,339,603,3
"FL",243,46470,287,805,3
"KY",216,39670,325,523,3
"TN",212,39460,315,588,3
"AL",208,37240,332,584,3
"MS",215,34480,358,445,3
"AR",221,36800,320,500,3
"LA",244,38250,355,661,3
"OK",234,41890,306,680,3
"TX",269,43360,335,797,3
"MT",302,44180,335,534,4
"ID",268,43230,344,541,4
"WY",323,48130,331,605,4
"CO",304,50460,324,785,4
"NM",317,37640,366,698,4
"AZ",332,45040,340,796,4
"UT",315,40050,378,804,4
"NV",291,55600,330,809,4
"WA",312,49890,313,726,4
"OR",316,46970,305,671,4
"CA",332,54380,307,909,4
"AK",546,56130,386,484,4
"HI",311,53090,333,831,4
