"group","diam1","diam2","totht","canht","dens","leafwt"
"MCD",1.8,1.15,1.3,1,1,401.3
"MCD",1.7,1.35,1.35,1.33,1,513.7
"MCD",2.8,2.55,2.16,0.6,1,1179.2
"MCD",1.3,0.85,1.8,1.2,1,308
"MCD",3.3,1.9,1.55,1.05,1,855.2
"MCD",1.4,1.4,1.2,1,1,268.7
"MCD",1.5,0.5,1,0.9,1,155.5
"MCD",3.9,2.3,1.7,1.3,2,1253.2
"MCD",1.8,1.35,0.8,0.6,1,328
"MCD",2.1,1.6,1.2,0.8,1,614.6
"MCD",0.8,0.63,0.9,0.6,1,60.2
"MCD",1.3,0.95,1.35,0.95,1,269.6
"MCD",1.2,0.9,1.4,1.2,1,448.4
"MCD",1.5,0.7,1,0.7,1,120.4
"MCD",2.8,1.7,1.7,1.2,1,378.7
"MCD",1.4,0.85,1.5,1.1,1,266.4
"MCD",1.5,0.6,0.65,0.64,1,138.9
"MCD",2.4,2.4,1.5,1.2,1,1020.8
"MCD",1.9,1.55,1.7,1.2,1,635.7
"MCD",2.3,1.6,1.7,1.3,1,621.8
"MCD",2.1,1.7,1.5,1,1,579.8
"MCD",2.4,1.3,1.5,0.9,2,326.8
"MCD",1,0.4,1.2,1,1,66.7
"MCD",1.3,0.6,0.7,0.5,1,68
"MCD",1.1,0.7,1.2,0.9,1,153.1
"MCD",1.3,1.2,0.8,0.6,1,256.4
"ALS",2.5,2.3,1.7,1.4,5,723
"ALS",5.2,4,3,2.5,9,4052
"ALS",2,1.6,1.7,1.4,1,345
"ALS",1.6,1.6,1.6,1.3,1,330.9
"ALS",1.4,1,1.5,1.1,1,163.5
"ALS",3.2,1.9,1.9,1.5,3,1160
"ALS",1.9,1.8,1.1,0.8,1,386.6
"ALS",2.4,2.4,1.6,1.1,3,693.5
"ALS",2.5,1.8,2,1.3,7,674.4
"ALS",2.1,1.5,1.25,0.85,1,217.5
"ALS",2.4,2.2,2,1.5,2,771.3
"ALS",2.4,1.7,1.3,1.2,2,341.7
"ALS",1.9,1.2,1.45,1.15,2,125.7
"ALS",2.7,2.5,2.2,1.5,3,462.5
"ALS",1.3,1.1,0.7,0.7,1,64.5
"ALS",2.9,2.7,1.9,1.9,1,850.6
"ALS",2.1,1,1.8,1.5,2,226
"ALS",4.1,3.8,2,1.5,2,1745.1
"ALS",2.8,2.5,2.2,1.5,1,908
"ALS",1.27,1,0.92,0.62,1,213.5
