"rat","age","weight"
1,8,151
2,8,145
3,8,147
4,8,155
5,8,135
6,8,159
7,8,141
8,8,159
9,8,177
10,8,134
11,8,160
12,8,143
13,8,154
14,8,171
15,8,163
16,8,160
17,8,142
18,8,156
19,8,157
20,8,152
21,8,154
22,8,139
23,8,146
24,8,157
25,8,132
26,8,160
27,8,169
28,8,157
29,8,137
30,8,153
1,15,199
2,15,199
3,15,214
4,15,200
5,15,188
6,15,210
7,15,189
8,15,201
9,15,236
10,15,182
11,15,208
12,15,188
13,15,200
14,15,221
15,15,216
16,15,207
17,15,187
18,15,203
19,15,212
20,15,203
21,15,205
22,15,190
23,15,191
24,15,211
25,15,185
26,15,207
27,15,216
28,15,205
29,15,180
30,15,200
1,22,246
2,22,249
3,22,263
4,22,237
5,22,230
6,22,252
7,22,231
8,22,248
9,22,285
10,22,220
11,22,261
12,22,220
13,22,244
14,22,270
15,22,242
16,22,248
17,22,234
18,22,243
19,22,259
20,22,246
21,22,253
22,22,225
23,22,229
24,22,250
25,22,237
26,22,257
27,22,261
28,22,248
29,22,219
30,22,244
1,29,283
2,29,293
3,29,312
4,29,272
5,29,280
6,29,298
7,29,275
8,29,297
9,29,350
10,29,260
11,29,313
12,29,273
13,29,289
14,29,326
15,29,281
16,29,288
17,29,280
18,29,283
19,29,307
20,29,286
21,29,298
22,29,267
23,29,272
24,29,285
25,29,286
26,29,303
27,29,295
28,29,289
29,29,258
30,29,286
1,36,320
2,36,354
3,36,328
4,36,297
5,36,323
6,36,331
7,36,305
8,36,338
9,36,376
10,36,296
11,36,352
12,36,314
13,36,325
14,36,358
15,36,312
16,36,324
17,36,316
18,36,317
19,36,336
20,36,321
21,36,334
22,36,302
23,36,302
24,36,323
25,36,331
26,36,345
27,36,333
28,36,316
29,36,291
30,36,324
